movieName,Year,Director,genre,Rating,Duration,Plot
An Autumn Afternoon,1962,Yasujirô Ozu,Drama            ,8,113 min,An aging widower arranges a marriage for his only daughter.
Withnail & I,1987,Bruce Robinson,"Comedy, Drama            ",7.5,107 min,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous."
The Unknown,1927,Tod Browning,"Drama, Horror, Romance            ",7.7,68 min,A criminal on the run hides in a circus and seeks to possess the daughter of the ringmaster at any cost.
Call Me by Your Name,2017,Luca Guadagnino,"Drama, Romance            ",7.8,132 min,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
High Noon,1952,Fred Zinnemann,"Drama, Thriller, Western            ",8,85 min,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train."
Les diaboliques,1955,Henri-Georges Clouzot,"Crime, Drama, Horror            ",8.1,117 min,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
A Night at the Opera,1935,Sam Wood,"Comedy, Music, Musical            ",7.8,96 min,A sly business manager and the wacky friends of two opera singers in Italy help them achieve success in America while humiliating their stuffy and snobbish enemies.
Pickpocket,1959,Robert Bresson,"Crime, Drama            ",7.6,76 min,"Michel passes the time by picking pockets, careful to never be caught despite being watched by the police. His friend Jacques may suspect, while both men may have their eyes on Jeanne, the pretty neighbor of Michel's ailing mother."
La jetée,1962,Chris Marker,"Short, Drama, Romance            ",8.2,28 min,"The story of a man forced to explore his memories in the wake of World War III's devastation, told through still images."
Berlin Alexanderplatz,1980,Günter Lamprecht,"Crime, Drama            ",8.4,931 min,"In late-1920s Berlin, Franz Biberkopf is released from prison and vows to go straight. However, he soon finds himself embroiled in the city's criminal underworld."
Pyaasa,1957,Guru Dutt,"Drama, Musical, Romance            ",8.3,146 min,"Vijay, a talented but indigent poet, struggles for love and recognition in this selfish world."
La nuit américaine,1973,François Truffaut,"Comedy, Drama, Romance            ",8,116 min,"A committed film director struggles to complete his movie while coping with a myriad of crises, personal and professional, among the cast and crew."
Ratatouille,2007,Brad Bird,"Animation, Adventure, Comedy            ",8.1,111 min,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
Love Me Tonight,1932,Rouben Mamoulian,"Comedy, Musical, Romance            ",7.5,104 min,"A Parisian tailor finds himself posing as a baron in order to collect a sizeable bill from an aristocrat, only to fall in love with an aloof young princess."
Scener ur ett äktenskap,1974,Ingmar Bergman,Drama            ,8.3,169 min,"Scenes from a Marriage chronicles the many years of love and turmoil that bind Marianne (Liv Ullmann) and Johan (Erland Josephson) through matrimony, infidelity, divorce, and subsequent partners."
The Social Network,2010,David Fincher,"Biography, Drama            ",7.8,120 min,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business."
Night of the Living Dead,1968,George A. Romero,"Horror, Thriller            ",7.8,96 min,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the Northeast of the United States.
Our Hospitality,1923,John G. Blystone,"Comedy, Romance, Thriller            ",7.8,65 min,"A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family."
Red River,1948,Howard Hawks,"Drama, Western            ",7.8,133 min,"Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son."
Repulsion,1965,Roman Polanski,"Drama, Horror, Thriller            ",7.6,105 min,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.
Kaguya-hime no monogatari,2013,Isao Takahata,"Animation, Drama, Family            ",8,137 min,"Kaguya is a beautiful young woman coveted by five nobles. To try to avoid marrying a stranger she doesn't love, she sends her suitors on seemingly impossible tasks. But she will have to face her fate and punishment for her choices."
Onna ga kaidan wo agaru toki,1960,Mikio Naruse,Drama            ,8.1,111 min,"A middle-aged bar hostess, constantly in debt, is faced with numerous social constraints and challenges posed to her by her family, customers and friends."
The Lord of the Rings: The Two Towers,2002,Peter Jackson,"Action, Adventure, Drama            ",8.8,179 min,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
The God of Day Had Gone Down Upon Him,2000,Stan Brakhage,,7.7,50 min,A collage of fire and water inferences on single-strand photography.
L'albero degli zoccoli,1978,Ermanno Olmi,"Drama, History            ",7.8,186 min,Peasant life in a feudal farm in rural Italy at the end of the 19th century.
Seven Chances,1925,Buster Keaton,"Comedy, Romance            ",7.8,56 min,A man learns that he will inherit a fortune if he marries by 7PM that evening.
Star Wars,1977,George Lucas,"Action, Adventure, Fantasy            ",8.6,121 min,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
Coco,I) (2017,Lee Unkrich,"Animation, Adventure, Drama            ",8.4,105 min,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,"Action, Adventure, Fantasy            ",8.7,124 min,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
Salesman,1969,Albert Maysles,"Documentary, Drama            ",7.7,91 min,Four dogged door-to-door Bible salesmen travel from Boston to Florida on a seemingly futile quest to sell luxury editions of the Good Book to working-class Catholics.
The Silence of the Lambs,1991,Jonathan Demme,"Crime, Drama, Thriller            ",8.6,118 min,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Toy Story,1995,John Lasseter,"Animation, Adventure, Comedy            ",8.3,81 min,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
Seppuku,1962,Masaki Kobayashi,"Action, Drama, Mystery            ",8.6,133 min,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
Vuelven,2017,Issa López,"Fantasy, Horror, Mystery            ",6.9,83 min,A dark fairy tale about a gang of five children trying to survive the horrific violence of the cartels and the ghosts created every day by the drug war.
Los olvidados,1950,Luis Buñuel,"Crime, Drama            ",8.3,85 min,"A group of juvenile delinquents live a violent and crime-filled life in the festering slums of Mexico City, as the morals of young Pedro are gradually corrupted and destroyed by the others."
Babettes gæstebud,1987,Gabriel Axel,Drama            ,7.8,103 min,"During the late 19th century, a strict religious community in a Danish village takes in a French refugee from the Franco-Prussian War as a servant to the late pastor's daughters."
The Artist,I) (2011,Michel Hazanavicius,"Comedy, Drama, Romance            ",7.9,100 min,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
The Sweet Hereafter,1997,Atom Egoyan,Drama            ,7.5,112 min,"A bus crash in a small town brings a lawyer to defend the families, but he discovers everything isn't what it seems."
The Killing,1956,Stanley Kubrick,"Crime, Drama, Film-Noir            ",7.9,84 min,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.
My Darling Clementine,1946,John Ford,"Drama, Romance, Western            ",7.7,97 min,"After their cattle are stolen and their brother murdered, the Earp brothers have a score to settle with the Clanton family."
Avengers: Endgame,2019,Anthony Russo,"Action, Adventure, Drama            ",8.4,181 min,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Tonari no Totoro,1988,Hayao Miyazaki,"Animation, Comedy, Family            ",8.1,86 min,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
Trois couleurs: Bleu,1993,Krzysztof Kieslowski,"Drama, Music, Mystery            ",7.9,94 min,A woman struggles to find a way to live her life after the death of her husband and child.
Gold Diggers of 1933,1933,Mervyn LeRoy,"Comedy, Drama, Musical            ",7.7,97 min,"A wealthy composer rescues unemployed Broadway performers with a new play, but insists on remaining anonymous."
Song of the Sea,2014,Tomm Moore,"Animation, Adventure, Drama            ",8,93 min,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world."
I vitelloni,1953,Federico Fellini,"Comedy, Drama            ",7.8,109 min,A character study of five young men at crucial turning points in their lives in a small town in Italy.
Letter from an Unknown Woman,1948,Max Ophüls,"Drama, Romance            ",7.9,87 min,"A pianist about to flee from a duel receives a letter from a woman he cannot remember, who may hold the key to his downfall."
Tower,2016,Keith Maitland,"Documentary, Animation, Crime            ",7.9,82 min,"Animation, testimony, and archival footage combine to relate the events of August 1, 1966 when a gunman opened fire from the University of Texas clock tower, killing 16 people."
Kimi no na wa.,2016,Makoto Shinkai,"Animation, Drama, Fantasy            ",8.4,106 min,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
The Story of the Last Chrysanthemums,1939,Kenji Mizoguchi,"Drama, Romance            ",7.8,143 min,"The adopted son of a legendary actor, and an aspiring star himself, turns to his infant brother's wet nurse for support and affection - only for her to give up everything for her beloved's glory."
Nashville,1975,Robert Altman,"Comedy, Drama, Music            ",7.6,160 min,"Over the course of a few hectic days, numerous interrelated people prepare for a political convention."
And Life Goes on...,1992,Abbas Kiarostami,"Adventure, Drama            ",7.9,95 min,"A director and his son return to a region damaged by the Guilan earthquake, hoping to find the children who appeared in his film a few years earlier."
Gimme Shelter,1970,Albert Maysles,"Documentary, Music, Thriller            ",7.8,91 min,"When three hundred thousand members of the Love Generation collided with a few dozen Hells Angels at San Francisco's Altamont Speedway, the bloody slash that transformed a decade's dreams into disillusionment was immortalized on this film."
Miracolo a Milano,1951,Vittorio De Sica,"Comedy, Drama, Fantasy            ",7.6,97 min,"An open-hearted, unrelentingly energetic orphan struggles to make the best of his life on the streets of Milan."
Les vacances de Monsieur Hulot,1953,Jacques Tati,Comedy            ,7.3,114 min,"Monsieur Hulot comes to a beachside hotel for a vacation and accidentally, but good-naturedly, causes havoc."
The Circus,1928,Charles Chaplin,"Comedy, Family, Romance            ",8.1,72 min,The Tramp finds work and the girl of his dreams at a circus.
Le charme discret de la bourgeoisie,1972,Luis Buñuel,Comedy            ,7.8,102 min,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together."
Gangs of Wasseypur,2012,Anurag Kashyap,"Action, Comedy, Crime            ",8.2,321 min,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
Cet obscur objet du désir,1977,Luis Buñuel,"Comedy, Drama, Romance            ",7.8,103 min,"Recounted in flashback are the romantic perils of Mathieu, a middle-aged French sophisticate as he falls for his nineteen-year-old former chambermaid Conchita."
O Drakos,1956,Nikos Koundouros,"Crime, Drama            ",7.9,103 min,"A peaceful, frightened little man is mistakenly identified as ""the dragon"", a notorious criminal at large. He briefly and reluctantly rules the underworld until they realize their mistake."
Gravity,2013,Alfonso Cuarón,"Drama, Sci-Fi, Thriller            ",7.7,91 min,Two astronauts work together to survive after an accident leaves them stranded in space.
Before Midnight,2013,Richard Linklater,"Drama, Romance            ",7.9,109 min,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
Alien,1979,Ridley Scott,"Horror, Sci-Fi            ",8.5,117 min,The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.
Nema-ye Nazdik,1990,Abbas Kiarostami,"Biography, Crime, Drama            ",8.2,98 min,"The true story of Hossain Sabzian, a cinephile who impersonated the director Mohsen Makhmalbaf to convince a family they would star in his so-called new film."
L.A. Confidential,1997,Curtis Hanson,"Crime, Drama, Mystery            ",8.2,138 min,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Short Term 12,2013,Destin Daniel Cretton,Drama            ,7.9,96 min,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
Les parapluies de Cherbourg,1964,Jacques Demy,"Drama, Musical, Romance            ",7.8,91 min,A young woman separated from her lover by war faces a life-altering decision.
Él,1953,Luis Buñuel,"Drama, Romance            ",7.9,92 min,"A husband's suave exterior unravels after his marriage, and he unleashes his paranoid and volatile temper on his wife, which escalates to more dangerous and unpredictable tantrums."
Moonlight,I) (2016,Barry Jenkins,Drama            ,7.4,111 min,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood."
Il deserto rosso,1964,Michelangelo Antonioni,Drama            ,7.5,117 min,"In an industrial area, unstable Giuliana attempts to cope with life by starting an affair with a co-worker at the plant her husband manages."
Emmet Otter's Jug-Band Christmas,1977 TV Movie,Jim Henson,"Comedy, Drama, Family            ",8.2,48 min,A poor otter family risks everything for the chance to win the cash prize of a talent contest for Christmas.
The Lord of the Rings: The Return of the King,2003,Peter Jackson,"Action, Adventure, Drama            ",9,201 min,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
7th Heaven,1927,Frank Borzage,"Drama, Romance            ",7.6,110 min,"A street cleaner saves a young woman's life, and the pair slowly fall in love until war intervenes."
Sans toit ni loi,1985,Agnès Varda,Drama            ,7.7,105 min,"A young woman's body is found frozen in a ditch. Through flashbacks and interviews, we see the events that led to her inevitable death."
Room,I) (2015,Lenny Abrahamson,"Drama, Thriller            ",8.1,118 min,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
 American Masters,1985– ,Martin Scorsese,"Documentary, Biography, Music            ",8.4,208 min,"A chronicle of Bob Dylan's strange evolution between 1961 and 1966 from folk singer to protest singer to ""voice of a generation"" to rock star."
Simón del desierto,1965,Luis Buñuel,"Comedy, Drama, Fantasy            ",7.9,45 min,"Simon, a deeply religious man living in the 4th century, wants to be nearer to God so he climbs a column. The Devil wants him to come down to Earth and is trying to seduce him."
Saving Private Ryan,1998,Steven Spielberg,"Drama, War            ",8.6,169 min,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
Aranyer Din Ratri,1970,Satyajit Ray,Drama            ,8.1,115 min,"A group of Calcutta city slickers, including the well-off Asim (Soumitra Chatterjee), the meek Sanjoy (Subhendu Chatterjee) and the brutish Hari (Samit Bhanja), head out for a weekend in the wilderness."
Aliens,1986,James Cameron,"Action, Adventure, Sci-Fi            ",8.4,137 min,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
Yang guang can lan de ri zi,1994,Wen Jiang,"Drama, Romance            ",8.1,134 min,"Beijing, 1970s. Now that the CR has driven most adults to the provinces, 14-year-old Monkey and his pals have free reign over the city. They hang around, get up to no good, and discover that unsolvable mystery referred to as ""girls."""
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,"Action, Adventure, Drama            ",8.9,178 min,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Une femme douce,1969,Robert Bresson,"Drama, Romance            ",7.4,88 min,"A young woman kills herself, leaving no explanation to her grief-stricken pawnbroker husband. We learn in flashback about how they met, married, and how she failed to adapt her lifestyle to...                See full summary »"
Al-mummia,1969,Chadi Abdel Salam,Drama            ,7.7,102 min,"An Upper-Egyptian clan robs a cache of mummies and sells the artifacts on the illicit antiquities black market. After a conflict within the clan, one of its members goes to the police, helping the Antiquities Service find the cache."
The Conversation,1974,Francis Ford Coppola,"Drama, Mystery, Thriller            ",7.8,113 min,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered."
Partie de campagne,1946,Jean Renoir,"Short, Comedy, Drama            ",7.5,40 min,"The family of a Parisian shop-owner spends a day in the country. The daughter falls in love with a man at the inn, where they spend the day."
Bab el hadid,1958,Youssef Chahine,"Crime, Drama            ",7.5,77 min,A newspaper salesman at the train station in Cairo develops an unhealthy obsession with a woman who sells refreshments.
Eighth Grade,2018,Bo Burnham,"Comedy, Drama            ",7.4,93 min,An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,"Drama, Romance, Sci-Fi            ",8.3,108 min,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
The Man Who Would Be King,1975,John Huston,"Adventure, War            ",7.8,129 min,"Two former British soldiers in 1880s India decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great."
Le ballon rouge,1956,Albert Lamorisse,"Short, Comedy, Drama            ",8.1,34 min,A red balloon with a mind of its own follows a little boy around the streets of Paris.
Solaris,1972,Andrei Tarkovsky,"Drama, Mystery, Sci-Fi            ",8,167 min,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
Andhadhun,2018,Sriram Raghavan,"Crime, Mystery, Thriller            ",8.2,139 min,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
Indagine su un cittadino al di sopra di ogni sospetto,1970,Elio Petri,"Crime, Drama            ",8,115 min,"A chief of detectives, homicide section, kills his mistress and deliberately leaves clues to prove his own responsibility for the crime."
A Bread Factory: Part Two,2018,Patrick Wang,"Comedy, Drama            ",6.7,115 min,"At The Bread Factory, they rehearse the Greek play, Hecuba. But the real theatrics are outside the theater where the town has been invaded by bizarre tourists and mysterious tech start-up ...                See full summary »"
Fury,1936,Fritz Lang,"Crime, Drama, Film-Noir            ",7.8,92 min,"When a wrongly-accused prisoner barely survives a lynch-mob attack and is presumed dead, he vindictively decides to fake his death and frame the mob for his supposed murder."
Aladdin,1992,Ron Clements,"Animation, Adventure, Comedy            ",8,90 min,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
Persepolis,2007,Vincent Paronnaud,"Animation, Biography, Drama            ",8,96 min,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.
Du rififi chez les hommes,1955,Jules Dassin,"Crime, Drama, Thriller            ",8.1,118 min,"Four men plan a technically perfect crime, but the human element intervenes..."
La haine,1995,Mathieu Kassovitz,"Crime, Drama            ",8.1,98 min,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
Tini zabutykh predkiv,1965,Sergei Parajanov,"Drama, Romance            ",7.8,97 min,A timeless Carpathian story - the young Ivan falls in love with the daughter of his father's killer among the Hutsul people of Ukraine.
When We Were Kings,1996,Leon Gast,"Documentary, Sport            ",7.9,88 min,"Boxing documentary on the 1974 world heavyweight championship bout between defending champion, George Foreman, and the underdog challenger, Muhammad Ali."
Harry Potter and the Deathly Hallows - Part 2,2011,David Yates,"Adventure, Family, Fantasy            ",8.1,130 min,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
A Woman Under the Influence,1974,John Cassavetes,"Drama, Romance            ",8.1,155 min,"Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage."
Night Will Fall,2014,André Singer,"Documentary, History, War            ",8,75 min,Researchers discover film footage from World War II that turns out to be a lost documentary shot by Alfred Hitchcock and Sidney Bernstein in 1945 about German concentration camps.
Narayama bushikô,1983,Shôhei Imamura,Drama            ,7.8,130 min,"In a poor 19th century rural Japanese village, everyone who reaches the age of 70 has to climb a nearby mountain to die. An elderly woman is reaching close to her cut-off age during her last days with her family."
Unforgiven,1992,Clint Eastwood,"Drama, Western            ",8.2,130 min,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
Le cercle rouge,1970,Jean-Pierre Melville,"Crime, Drama, Thriller            ",7.9,140 min,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist."
Amadeus,1984,Milos Forman,"Biography, Drama, Music            ",8.4,160 min,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
Aruitemo aruitemo,2008,Kore-eda Hirokazu,Drama            ,7.9,115 min,A family gathers together for a commemorative ritual whose nature only gradually becomes clear.
My Man Godfrey,1936,Gregory La Cava,"Comedy, Drama, Romance            ",7.9,94 min,A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.
Akibiyori,1960,Yasujirô Ozu,"Comedy, Drama            ",7.9,128 min,A widow tries to marry off her daughter with the help of her late husband's three friends.
The Little Foxes,1941,William Wyler,"Drama, Romance            ",7.9,116 min,"The ruthless, moneyed Hubbard clan lives in, and poisons, their part of the Deep South at the turn of the twentieth century."
Back to the Future,1985,Robert Zemeckis,"Adventure, Comedy, Sci-Fi            ",8.5,116 min,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
Der Himmel über Berlin,1987,Wim Wenders,"Drama, Fantasy, Romance            ",7.9,128 min,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
Raging Bull,1980,Martin Scorsese,"Biography, Drama, Sport            ",8.1,129 min,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
Pixote: A Lei do Mais Fraco,1980,Hector Babenco,"Crime, Drama            ",7.9,128 min,"The life of a boy on the streets of Sao Paulo, involved with crimes, prostitution, and drugs."
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,Hideaki Anno,"Animation, Action, Drama            ",8.1,87 min,Concurrent theatrical ending of the TV series Shinseiki Evangelion (1995).
Back in the U.S.,2002 TV Special,Mark Haefeli,"Documentary, Music            ",7.9,180 min,Paul McCartney in concert during his spring 2002 tour of the U.S.
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,Jonas Mekas,"Documentary, Biography            ",8.2,288 min,Director Jonas Mekas provides an intimate glimpse of his personal life by constructing a feature length narrative from over 30 years of private home movie footage.
The Tale,2018,Jennifer Fox,"Biography, Drama, Mystery            ",7.2,114 min,A woman filming a documentary on childhood rape victims starts to question the nature of her childhood relationship with her riding instructor and running coach.
Le mépris,1963,Jean-Luc Godard,"Drama, Romance            ",7.5,103 min,Screenwriter Paul Javal's marriage to his wife Camille disintegrates during movie production as she spends time with the producer. Layered conflicts between art and business ensue.
Swing Time,1936,George Stevens,"Comedy, Musical, Romance            ",7.5,103 min,"Roguish gambler/dancer ""Lucky"" Garnett is challenged by his fiance's father to come up with $25,000 to prove he's worthy of her hand. But after he falls in love with a dance instructor, Lucky'll do anything to keep from earning the bucks."
Im Lauf der Zeit,1976,Wim Wenders,Drama            ,7.7,175 min,"A traveling projection-equipment mechanic works in Western Germany along the East-German border, visiting worn-out theatres. He meets with a depressed young man whose marriage has just broken up, and the two decide to travel together."
Nuovo Cinema Paradiso,1988,Giuseppe Tornatore,"Drama, Romance            ",8.5,155 min,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
Z,1969,Costa-Gavras,"Crime, Drama, Thriller            ",8.2,127 min,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.
The Fallen Idol,1948,Carol Reed,"Drama, Film-Noir, Mystery            ",7.6,95 min,"A butler working in a foreign embassy in London falls under suspicion when his wife accidentally falls to her death, the only witness being an impressionable young boy."
Vampyr,1932,Carl Theodor Dreyer,"Fantasy, Horror            ",7.4,75 min,A drifter obsessed with the supernatural stumbles upon an inn where a severely ill adolescent girl is slowly becoming a vampire.
Cléo de 5 à 7,1962,Agnès Varda,"Comedy, Drama, Music            ",7.8,90 min,"Cleo, a singer and hypochondriac, becomes increasingly worried that she might have cancer while awaiting test results from her doctor."
Utvandrarna,1971,Jan Troell,"Drama, History            ",8,191 min,"Småland, Sweden, mid-19th century. A farming family struggle with their rocky, unyielding land, and decide to embark on the arduous journey to new hope in America."
Killer of Sheep,1978,Charles Burnett,Drama            ,7.2,80 min,"Set in the Watts area of Los Angeles, a slaughterhouse worker must suspend his emotions to continue working at a job he finds repugnant, and then he finds he has little sensitivity for the family he works so hard to support."
Journal d'un curé de campagne,1951,Robert Bresson,Drama            ,7.8,115 min,A young priest taking over the parish at Ambricourt tries to fulfill his duties even as he fights a mysterious stomach ailment.
Ukigusa,1959,Yasujirô Ozu,Drama            ,7.9,119 min,"The head of a Japanese theatre troupe returns to a small coastal town where he left a son who thinks he is his uncle, and tries to make up for the lost time, but his current mistress grows jealous."
Sommarnattens leende,1955,Ingmar Bergman,"Comedy, Romance            ",7.7,109 min,"In Sweden at the turn of the century, members of the upper class and their servants find themselves in a romantic tangle that they try to work out amidst jealousy and heartbreak."
Manchester by the Sea,2016,Kenneth Lonergan,Drama            ,7.8,137 min,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
No Country for Old Men,2007,Ethan Coen,"Crime, Drama, Thriller            ",8.2,122 min,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
La Belle et la Bête,1946,Jean Cocteau,"Drama, Fantasy, Romance            ",7.9,96 min,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her."
The Mortal Storm,1940,Frank Borzage,Drama            ,7.7,100 min,"The Roth family leads a quiet life in a small village in the German Alps during the early 1930s. When the Nazis come to power, the family is divided and Martin Breitner, a family friend, is caught up in the turmoil."
Stalag 17,1953,Billy Wilder,"Comedy, Drama, War            ",8,120 min,"After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer."
"4 luni, 3 saptamâni si 2 zile",2007,Cristian Mungiu,Drama            ,7.9,113 min,A woman assists her friend in arranging an illegal abortion in 1980s Romania.
Gett,2014,Ronit Elkabetz,Drama            ,7.7,115 min,"After a lukewarm marriage of over twenty years, a woman appeals to her husband's compassion to obtain the desirable divorce document in front of a court, which proves to be more challenging than she would expect."
The Manchurian Candidate,1962,John Frankenheimer,"Drama, Thriller            ",7.9,126 min,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.
The African Queen,1951,John Huston,"Adventure, Drama, Romance            ",7.7,105 min,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship."
The Big Heat,1953,Fritz Lang,"Crime, Film-Noir, Thriller            ",7.9,89 min,Tough cop Dave Bannion takes on a politically powerful crime syndicate.
Jean de Florette,1986,Claude Berri,"Comedy, Drama            ",8.1,120 min,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.
I Am a Fugitive from a Chain Gang,1932,Mervyn LeRoy,"Crime, Drama, Film-Noir            ",8.2,92 min,"Wrongly convicted James Allen serves in the intolerable conditions of a Southern chain gang, which later comes back to haunt him."
Finding Nemo,2003,Andrew Stanton,"Animation, Adventure, Comedy            ",8.2,100 min,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
Up,2009,Pete Docter,"Animation, Adventure, Comedy            ",8.3,96 min,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
Reservoir Dogs,1992,Quentin Tarantino,"Crime, Thriller            ",8.3,99 min,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
