movieName,Year,Director,genre,Rating,Duration,Plot
Ladri di biciclette,1948,Vittorio De Sica,Drama            ,8.3,89 min,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
Ikiru,1952,Akira Kurosawa,Drama            ,8.3,143 min,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
Sanshô dayû,1954,Kenji Mizoguchi,Drama            ,8.4,124 min,"In medieval Japan, a compassionate governor is sent into exile. His wife and children try to join him, but are separated, and the children grow up amid suffering and oppression."
Apur Sansar,1959,Satyajit Ray,Drama            ,8.5,105 min,This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.
"Il buono, il brutto, il cattivo",1966,Sergio Leone,"Adventure, Western            ",8.8,161 min,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
Sherlock Jr.,1924,Buster Keaton,"Action, Comedy, Romance            ",8.2,45 min,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
The Wizard of Oz,1939,Victor Fleming,"Adventure, Family, Fantasy            ",8.1,102 min,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
Taxi Driver,1976,Martin Scorsese,"Crime, Drama            ",8.2,114 min,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
Kes,1969,Ken Loach,"Drama, Family            ",7.9,111 min,A working-class English boy spends his free time caring for and training his pet kestrel.
La battaglia di Algeri,1966,Gillo Pontecorvo,"Drama, War            ",8.1,121 min,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
Chinatown,1974,Roman Polanski,"Drama, Mystery, Thriller            ",8.2,130 min,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
Un condamné à mort s'est échappé ou Le vent souffle où il veut,1956,Robert Bresson,"Drama, Thriller, War            ",8.2,101 min,A captured French Resistance fighter during WWII engineers a daunting escape from a Nazi prison in France.
Metropolis,1927,Fritz Lang,"Drama, Sci-Fi            ",8.3,153 min,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
North by Northwest,1959,Alfred Hitchcock,"Action, Adventure, Mystery            ",8.3,136 min,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
La Grande Illusion,1937,Jean Renoir,"Drama, War            ",8.1,113 min,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
Greed,1924,Erich von Stroheim,"Drama, Thriller, Western            ",8,140 min,The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved.
Fanny och Alexander,1982,Ingmar Bergman,Drama            ,8.1,188 min,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
Make Way for Tomorrow,1937,Leo McCarey,"Drama, Romance            ",8.2,91 min,An elderly couple are forced to live hundreds of miles apart when they lose their house and none of their five children will take both parents in.
Kind Hearts and Coronets,1949,Robert Hamer,"Comedy, Crime            ",8,106 min,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.
Suna no onna,1964,Hiroshi Teshigahara,"Drama, Thriller            ",8.5,147 min,An entomologist on vacation is trapped by local villagers into living with a woman whose life task is shoveling sand for them.
Ran,1985,Akira Kurosawa,"Action, Drama, War            ",8.2,160 min,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
Andrei Rublev,1966,Andrei Tarkovsky,"Biography, Drama, History            ",8.1,205 min,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
